id,order_id,payment_method,amount
1,1,coupon,400
2,1,bank_transfer,400
3,1,bank_transfer,200
4,2,gift_card,600
5,3,credit_card,100
6,4,credit_card,700
7,5,bank_transfer,200
8,5,credit_card,400
9,6,bank_transfer,200
10,6,credit_card,300
11,7,gift_card,300
12,7,gift_card,100
13,7,gift_card,600
14,8,bank_transfer,700
15,9,coupon,100
16,10,gift_card,800
17,10,gift_card,100
18,10,gift_card,100
19,11,gift_card,700
20,11,credit_card,100
21,12,gift_card,800
22,12,credit_card,100
23,13,credit_card,800
24,14,credit_card,700
25,14,bank_transfer,200
26,14,coupon,100
27,15,bank_transfer,700
28,15,gift_card,200
29,16,credit_card,800
30,16,coupon,100
31,17,gift_card,800
32,17,coupon,100
33,17,gift_card,100
34,18,coupon,400
35,18,credit_card,400
36,19,credit_card,200
37,20,gift_card,800
38,21,gift_card,400
39,22,bank_transfer,800
40,22,credit_card,100
41,23,gift_card,500
42,23,coupon,100
43,24,credit_card,100
44,24,coupon,800
45,25,gift_card,500
46,25,bank_transfer,100
47,25,bank_transfer,400
48,26,coupon,100
49,26,bank_transfer,300
50,27,gift_card,600
51,27,credit_card,100
52,28,credit_card,500
53,29,credit_card,700
54,30,coupon,100
55,30,credit_card,600
56,31,credit_card,400
57,31,coupon,500
58,31,bank_transfer,100
59,32,bank_transfer,300
60,32,credit_card,400
61,33,bank_transfer,600
62,33,coupon,100
63,34,credit_card,600
64,34,coupon,200
65,35,coupon,600
66,35,gift_card,100
67,35,credit_card,100
68,36,gift_card,600
69,36,coupon,200
70,37,bank_transfer,200
71,37,gift_card,200
72,38,bank_transfer,400
73,38,coupon,100
74,38,coupon,400
75,39,bank_transfer,200
76,40,bank_transfer,100
77,40,bank_transfer,400
78,41,credit_card,400
79,41,bank_transfer,100
80,42,gift_card,200
81,42,bank_transfer,500
82,43,bank_transfer,300
83,43,credit_card,300
84,43,gift_card,300
85,44,coupon,600
86,45,gift_card,100
87,45,credit_card,400
88,46,bank_transfer,800
